refMAG,Phylum,Color
EVR0000-240319-01C_bin.56.permissive.fa,Pseudomonadota,#B7B2D0
QML2500-240413-01C_bin.54.permissive.fa,Patescibacteriota,#EAAA60
QML0000-240606-07C_bin.27.orig.fa,Bacteroidota,#7DA6C6
QML6500-240426-02C_bin.7.orig.fa,Bacteroidota,#7DA6C6
QML5200-240418-12C_bin.36.orig.fa,Bacteroidota,#7DA6C6
QML6500-240426-09C_bin.1.strict.fa,Pseudomonadota,#B7B2D0
QML5200-240511-01C_bin.57.permissive.fa,Actinomycetota,#E68B81
QML5200-240418-01C_bin.18.orig.fa,Bacteroidota,#7DA6C6
QML3650-240411-07C_bin.2.permissive.fa,Pseudomonadota,#B7B2D0
EVR0000-240319-01C_bin.64.strict.fa,Bacillota,#84C3B7
QML5800-240423-09C_bin.10.strict.fa,Bacteroidota,#7DA6C6
EVR0000-240319-01C_bin.7.strict.fa,Campylobacterota,#999999
QML5200-240522-01C_bin.22.strict.fa,Bacteroidota,#7DA6C6
QML0000-240616-04C_bin.3.orig.fa,Bacteroidota,#7DA6C6
QML5800-240423-05C_bin.23.strict.fa,Bacteroidota,#7DA6C6
EVR0000-240319-01C_bin.44.strict.fa,Bacillota,#84C3B7
QML5200-240504-09C_bin.51.orig.fa,Bacillota,#84C3B7
QML5200-240511-01D_bin.26.strict.fa,Pseudomonadota,#B7B2D0
EVR0000-240319-01C_bin.34.permissive.fa,Patescibacteriota,#EAAA60
QML5200-240522-06C_bin.5.strict.fa,Bacillota,#84C3B7
EVR0000-240319-01C_bin.33.strict.fa,Fusobacteriota,#999999
QML5200-240511-05C_bin.37.orig.fa,Fusobacteriota,#999999
QML3650-240415-01C_bin.44.orig.fa,Bacteroidota,#7DA6C6
EVR0000-240319-01C_bin.2.strict.fa,Pseudomonadota,#B7B2D0
EVR0000-240319-01C_bin.15.strict.fa,Bacillota,#84C3B7
QML5200-240504-01C_bin.54.strict.fa,Bacteroidota,#7DA6C6
QML0000-240616-10C_bin.44.strict.fa,Fusobacteriota,#999999
EVR0000-240319-01C_bin.8.strict.fa,Bacillota,#84C3B7
QML5200-240504-04C_bin.28.strict.fa,Bacillota,#84C3B7
QML5200-240504-04C_bin.24.orig.fa,Bacteroidota,#7DA6C6
QML0000-240616-10C_bin.7.strict.fa,Bacillota,#84C3B7
QML0000-240616-04C_bin.49.strict.fa,Patescibacteriota,#EAAA60
QML6500-240426-01D_bin.9.strict.fa,Patescibacteriota,#EAAA60
QML2000-240409-01D_bin.8.strict.fa,Pseudomonadota,#B7B2D0
QML5200-240511-10C_bin.2.strict.fa,Pseudomonadota,#B7B2D0
QML3650-240415-01C_bin.47.orig.fa,Patescibacteriota,#EAAA60
QML5200-240522-01C_bin.61.orig.fa,Bacteroidota,#7DA6C6
QML0000-240606-07C_bin.37.strict.fa,Bacillota,#84C3B7
QML0000-240606-07C_bin.49.orig.fa,Pseudomonadota,#B7B2D0
QML0000-240606-07C_bin.18.strict.fa,Fusobacteriota,#999999
QML0000-240616-10C_bin.32.strict.fa,Pseudomonadota,#B7B2D0
EVR0000-240319-07C_bin.30.orig.fa,Bacteroidota,#7DA6C6
QML5800-240428-06C_bin.33.strict.fa,Actinomycetota,#E68B81
QML6500-240426-04C_bin.3.strict.fa,Bacteroidota,#7DA6C6
QML5800-240423-01C_bin.26.orig.fa,Bacteroidota,#7DA6C6
QML0000-240606-04C_bin.18.orig.fa,Bacteroidota,#7DA6C6
EVR0000-240319-07C_bin.2.strict.fa,Bacillota,#84C3B7
EVR0000-240319-01C_bin.67.orig.fa,Patescibacteriota,#EAAA60
QML5200-240522-01C_bin.17.strict.fa,Bacteroidota,#7DA6C6
QML2500-240411-01C_bin.71.strict.fa,Bacillota,#84C3B7
QML5800-240423-09D_bin.8.strict.fa,Pseudomonadota,#B7B2D0
QML5200-240511-01C_bin.44.orig.fa,Bacteroidota,#7DA6C6
QML5200-240511-10C_bin.15.strict.fa,Bacillota,#84C3B7
QML5200-240504-09C_bin.26.strict.fa,Patescibacteriota,#EAAA60
EVR0000-240319-01C_bin.60.strict.fa,Bacteroidota,#7DA6C6
QML2000-240409-01D_bin.3.orig.fa,Actinomycetota,#E68B81
QML6500-240426-09C_bin.37.orig.fa,Bacteroidota,#7DA6C6
QML0000-240616-04C_bin.20.orig.fa,Bacteroidota,#7DA6C6
QML5200-240418-01C_bin.77.orig.fa,Bacillota,#84C3B7
QML6500-240426-09D_bin.6.strict.fa,Pseudomonadota,#B7B2D0
QML0000-240616-01C_bin.19.permissive.fa,Actinomycetota,#E68B81
QML5200-240418-01C_bin.81.orig.fa,Pseudomonadota,#B7B2D0
QML5200-240504-04C_bin.10.strict.fa,Bacteroidota,#7DA6C6
QML5200-240511-04C_bin.70.orig.fa,Bacillota,#84C3B7
EVR0000-240319-02C_bin.5.strict.fa,Bacillota,#84C3B7
EVR0000-240319-07C_bin.8.strict.fa,Actinomycetota,#E68B81
QML0000-240606-06C_bin.35.orig.fa,Patescibacteriota,#EAAA60
EVR0000-240319-01C_bin.76.permissive.fa,Bacteroidota,#7DA6C6
