Genome,oral_MinT,skin_MinT,gut_MinT,oral_MaxT,skin_MaxT,gut_MaxT
EVR0000-240319-01C_bin.15.strict.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-01C_bin.2.strict.fa,T2,Only,NA,T5,Only,NA
EVR0000-240319-01C_bin.33.strict.fa,T3,Only,NA,T1,Only,NA
EVR0000-240319-01C_bin.34.permissive.fa,T4,NA,NA,T1,NA,NA
EVR0000-240319-01C_bin.44.strict.fa,Tb,NA,NA,T10,NA,NA
EVR0000-240319-01C_bin.56.permissive.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-01C_bin.60.strict.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-01C_bin.64.strict.fa,Only,Only,NA,Only,Only,NA
EVR0000-240319-01C_bin.67.orig.fa,Ta,NA,NA,T1,NA,NA
EVR0000-240319-01C_bin.7.strict.fa,T7,NA,NA,T1,NA,NA
EVR0000-240319-01C_bin.76.permissive.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-01C_bin.8.strict.fa,T4,NA,NA,T1,NA,NA
EVR0000-240319-02C_bin.2.permissive.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-02C_bin.3.strict.fa,T6,NA,NA,T1,NA,NA
EVR0000-240319-02C_bin.5.strict.fa,Only,NA,Tb,Only,NA,T4
EVR0000-240319-04C_bin.1.strict.fa,T4,NA,NA,T1,NA,NA
EVR0000-240319-04C_bin.10.strict.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-04C_bin.15.permissive.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-04C_bin.31.orig.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-04C_bin.32.orig.fa,T2,NA,NA,Ta,NA,NA
EVR0000-240319-04C_bin.35.strict.fa,T4,NA,NA,T1,NA,NA
EVR0000-240319-04C_bin.51.permissive.fa,T2,NA,NA,T1,NA,NA
EVR0000-240319-04C_bin.58.strict.fa,T4,Only,NA,T1,Only,NA
EVR0000-240319-04C_bin.6.orig.fa,T6,NA,NA,T1,NA,NA
EVR0000-240319-04C_bin.60.strict.fa,T7,NA,NA,T6,NA,NA
EVR0000-240319-04C_bin.61.orig.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-04C_bin.64.permissive.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-04C_bin.65.orig.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-06C_bin.13.orig.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-06C_bin.20.strict.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-06C_bin.28.permissive.fa,T7,NA,NA,T1,NA,NA
EVR0000-240319-06C_bin.29.strict.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-06C_bin.6.permissive.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-07C_bin.1.strict.fa,T4,NA,NA,T1,NA,NA
EVR0000-240319-07C_bin.2.strict.fa,T4,NA,NA,T3,NA,NA
EVR0000-240319-07C_bin.24.strict.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-07C_bin.27.orig.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-07C_bin.28.orig.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-07C_bin.29.orig.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-07C_bin.30.orig.fa,Tb,NA,NA,T9,NA,NA
EVR0000-240319-07C_bin.32.orig.fa,T4,NA,NA,T8,NA,NA
EVR0000-240319-07C_bin.36.strict.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-07C_bin.5.permissive.fa,Only,NA,NA,Only,NA,NA
EVR0000-240319-07C_bin.8.strict.fa,T10,T4,NA,Ta,T3,NA
EVR0000-240319-07C_bin.9.orig.fa,Tb,NA,NA,T5,NA,NA
QML0000-240606-02B_bin.20.orig.fa,NA,NA,T7,NA,NA,T3
QML0000-240606-02B_bin.21.strict.fa,NA,NA,T7,NA,NA,T4
QML0000-240606-02B_bin.28.strict.fa,NA,NA,T7,NA,NA,T9
QML0000-240606-02B_bin.33.orig.fa,NA,NA,Only,NA,NA,Only
QML0000-240606-02C_bin.32.orig.fa,T4,NA,NA,T1,NA,NA
QML0000-240606-02C_bin.34.orig.fa,T5,NA,NA,T9,NA,NA
QML0000-240606-02C_bin.35.orig.fa,Only,NA,NA,Only,NA,NA
QML0000-240606-02C_bin.38.strict.fa,Only,NA,NA,Only,NA,NA
QML0000-240606-02C_bin.40.strict.fa,T10,NA,NA,T9,NA,NA
QML0000-240606-02C_bin.51.orig.fa,Only,NA,NA,Only,NA,NA
QML0000-240606-02C_bin.58.orig.fa,Only,NA,NA,Only,NA,NA
QML0000-240606-02C_bin.61.permissive.fa,T3,NA,NA,T9,NA,NA
QML0000-240606-02C_bin.9.permissive.fa,T5,NA,NA,T9,NA,NA
QML0000-240606-02D_bin.1.orig.fa,NA,T2,NA,NA,T9,NA
QML0000-240606-02D_bin.6.strict.fa,NA,Only,NA,NA,Only,NA
QML0000-240606-04B_bin.12.orig.fa,NA,NA,T2,NA,NA,T9
QML0000-240606-04B_bin.17.strict.fa,NA,NA,Only,NA,NA,Only
QML0000-240606-04B_bin.4.orig.fa,NA,NA,Only,NA,NA,Only
QML0000-240606-04C_bin.12.permissive.fa,Only,NA,NA,Only,NA,NA
QML0000-240606-04C_bin.18.orig.fa,T10,NA,NA,T7,NA,NA
QML0000-240606-04C_bin.20.orig.fa,Only,Only,NA,Only,Only,NA
QML0000-240606-04C_bin.21.strict.fa,T2,NA,NA,T9,NA,NA
QML0000-240606-04C_bin.33.strict.fa,T2,NA,NA,T1,NA,NA
QML0000-240606-04C_bin.40.permissive.fa,Only,NA,NA,Only,NA,NA
QML0000-240606-04C_bin.44.strict.fa,Only,NA,NA,Only,NA,NA
QML0000-240606-04C_bin.56.strict.fa,Only,NA,NA,Only,NA,NA
QML0000-240606-04C_bin.57.strict.fa,T4,NA,NA,T9,NA,NA
QML0000-240606-04D_bin.7.strict.fa,NA,T2,NA,NA,T9,NA
QML0000-240606-05B_bin.14.orig.fa,NA,NA,Tb,NA,NA,T10
QML0000-240606-05B_bin.16.strict.fa,NA,NA,Only,NA,NA,Only
QML0000-240606-05B_bin.26.strict.fa,NA,NA,Only,NA,NA,Only
QML0000-240606-05B_bin.3.strict.fa,NA,NA,T3,NA,NA,T9
QML0000-240606-05B_bin.6.orig.fa,NA,NA,Only,NA,NA,Only
QML0000-240606-05C_bin.11.orig.fa,T10,Only,NA,T9,Only,NA
QML0000-240606-05C_bin.12.strict.fa,Only,NA,NA,Only,NA,NA
QML0000-240606-05C_bin.14.strict.fa,Only,NA,NA,Only,NA,NA
QML0000-240606-05C_bin.15.permissive.fa,Only,NA,NA,Only,NA,NA
QML0000-240606-05C_bin.16.strict.fa,T10,NA,NA,T9,NA,NA
QML0000-240606-05C_bin.19.strict.fa,Ta,NA,NA,T2,NA,NA
QML0000-240606-05C_bin.4.permissive.fa,Only,Only,NA,Only,Only,NA
QML0000-240606-05C_bin.5.permissive.fa,Only,NA,NA,Only,NA,NA
QML0000-240606-05C_bin.7.strict.fa,T2,NA,NA,T9,NA,NA
QML0000-240606-05D_bin.11.permissive.fa,NA,T10,NA,NA,T1,NA
QML0000-240606-05D_bin.12.orig.fa,NA,Only,NA,NA,Only,NA
QML0000-240606-05D_bin.13.orig.fa,NA,Only,NA,NA,Only,NA
QML0000-240606-05D_bin.2.permissive.fa,NA,Only,NA,NA,Only,NA
QML0000-240606-05D_bin.3.permissive.fa,NA,T10,NA,NA,T1,NA
QML0000-240606-05D_bin.6.permissive.fa,NA,T10,NA,NA,T9,NA
QML0000-240606-05D_bin.7.permissive.fa,NA,Only,NA,NA,Only,NA
QML0000-240606-05D_bin.8.strict.fa,NA,T10,NA,NA,T1,NA
QML0000-240606-05D_bin.9.orig.fa,NA,Only,NA,NA,Only,NA
QML0000-240606-06B_bin.12.orig.fa,NA,NA,Only,NA,NA,Only
QML0000-240606-06B_bin.13.permissive.fa,NA,NA,T3,NA,NA,T2
QML0000-240606-06B_bin.25.strict.fa,NA,NA,T2,NA,NA,T1
QML0000-240606-06B_bin.41.strict.fa,NA,NA,Only,NA,NA,Only
QML0000-240606-06B_bin.45.orig.fa,NA,NA,Only,NA,NA,Only
