"original_name","renamed_name"
"LPE 16:0","Lipid_feature_1"
"LPE 18:3","Lipid_feature_2"
"LPE 18:2","Lipid_feature_3"
"LPE 18:1","Lipid_feature_4"
"LPE 18:0","Lipid_feature_5"
"LPE 20:4","Lipid_feature_6"
"LPE 20:3","Lipid_feature_7"
"LPE 22:6","Lipid_feature_8"
"LPC 14:0","Lipid_feature_9"
"LPC 16:1","Lipid_feature_10"
"LPC 16:0","Lipid_feature_11"
"LPC 18:3","Lipid_feature_12"
"LPC 18:2","Lipid_feature_13"
"LPC 18:1","Lipid_feature_14"
"LPC 18:0","Lipid_feature_15"
"LPC 20:5","Lipid_feature_16"
"LPC 20:4","Lipid_feature_17"
"LPC 20:3","Lipid_feature_18"
"LPC 20:2","Lipid_feature_19"
"LPC 20:1","Lipid_feature_20"
"LPC 20:0","Lipid_feature_21"
"LPC 22:6","Lipid_feature_22"
"LPC 22:5","Lipid_feature_23"
"LPC 22:4","Lipid_feature_24"
"LPC 22:1","Lipid_feature_25"
"LPC 22:0","Lipid_feature_26"
"PE 16:0-18:2","Lipid_feature_27"
"PE 16:0-18:1","Lipid_feature_28"
"PE 16:0-20:5","Lipid_feature_29"
"PE 16:0-20:4","Lipid_feature_30"
"PE 18:2-18:2","Lipid_feature_31"
"PE 18:1-18:2","Lipid_feature_32"
"PE 18:1-18:1","Lipid_feature_33"
"PE 18:0-18:2","Lipid_feature_34"
"PE 16:0-20:0","Lipid_feature_35"
"PE 18:0-18:0","Lipid_feature_36"
"PE 16:0-22:6","Lipid_feature_37"
"PE 18:2-20:4","Lipid_feature_38"
"PE 18:1-20:4","Lipid_feature_39"
"PE 18:0-20:5","Lipid_feature_40"
"PE 16:0-22:4","Lipid_feature_41"
"PE 18:2-20:2","Lipid_feature_42"
"PE 16:0-22:3","Lipid_feature_43"
"PE 18:3-20:0","Lipid_feature_44"
"PE 18:2-20:1","Lipid_feature_45"
"PE 18:1-20:2","Lipid_feature_46"
"PE 18:0-20:3","Lipid_feature_47"
"PE 16:0-22:2","Lipid_feature_48"
"PE 18:2-20:0","Lipid_feature_49"
