"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","comparison_type","original_feature","original_name"
"Metabolin_feature_1","time_ref_before","climb",0.151154939941996,0.0677385953872166,0.0284219639632221,"time_ref_beforeclimb",0.0568439279264441,89,75,"ref_before","Metabolin_feature_1","O-Phosphoethanolamine"
"Metabolin_feature_1","time_ref_before","after",0.098113842059633,0.0735117601039814,0.18594406386242,"time_ref_beforeafter",0.18594406386242,89,75,"ref_before","Metabolin_feature_1","O-Phosphoethanolamine"
"Metabolin_feature_1","time_ref_after","climb",0.0530410978822234,0.0411417753101596,0.20109465389886,"time_ref_afterclimb",0.20109465389886,89,75,"ref_after","Metabolin_feature_1","O-Phosphoethanolamine"
"Metabolin_feature_1","time_ref_after","before",-0.0981138420593907,0.0735117601039296,0.185944063863808,"time_ref_afterbefore",0.20109465389886,89,75,"ref_after","Metabolin_feature_1","O-Phosphoethanolamine"
"Metabolin_feature_10","time_ref_before","climb",0.0865043638035684,0.133896072223703,0.519963338223705,"time_ref_beforeclimb",0.778921927938097,89,89,"ref_before","Metabolin_feature_10","2-Hydroxybutyric acid"
"Metabolin_feature_10","time_ref_before","after",0.0413565530605164,0.146859487473484,0.778921927938097,"time_ref_beforeafter",0.778921927938097,89,89,"ref_before","Metabolin_feature_10","2-Hydroxybutyric acid"
"Metabolin_feature_10","time_ref_after","climb",0.0451478107430469,0.0819325908611968,0.583037719101966,"time_ref_afterclimb",0.778921927937989,89,89,"ref_after","Metabolin_feature_10","2-Hydroxybutyric acid"
"Metabolin_feature_10","time_ref_after","before",-0.0413565530605374,0.146859487473484,0.778921927937989,"time_ref_afterbefore",0.778921927937989,89,89,"ref_after","Metabolin_feature_10","2-Hydroxybutyric acid"
"Metabolin_feature_100","time_ref_before","climb",-0.0584481174236464,0.11565415743903,0.614591899369313,"time_ref_beforeclimb",0.614591899369313,89,87,"ref_before","Metabolin_feature_100","Etiadienic Acid Methyl Ester"
"Metabolin_feature_100","time_ref_before","after",0.0800244496063121,0.126851445330648,0.52981048300222,"time_ref_beforeafter",0.614591899369313,89,87,"ref_before","Metabolin_feature_100","Etiadienic Acid Methyl Ester"
"Metabolin_feature_100","time_ref_after","climb",-0.138472567029959,0.0707701473648681,0.0536330439798071,"time_ref_afterclimb",0.107266087959614,89,87,"ref_after","Metabolin_feature_100","Etiadienic Acid Methyl Ester"
"Metabolin_feature_100","time_ref_after","before",-0.0800244496063124,0.126851445330648,0.529810483002236,"time_ref_afterbefore",0.529810483002236,89,87,"ref_after","Metabolin_feature_100","Etiadienic Acid Methyl Ester"
"Metabolin_feature_101","time_ref_before","climb",-0.0170038666893299,0.0770964608648594,0.825963142846201,"time_ref_beforeclimb",0.825963142846201,89,89,"ref_before","Metabolin_feature_101","Adrenic acid"
"Metabolin_feature_101","time_ref_after","climb",-0.0774284107071053,0.047176236613822,0.104396071612203,"time_ref_afterclimb",0.208792143224406,89,89,"ref_after","Metabolin_feature_101","Adrenic acid"
"Metabolin_feature_101","time_ref_after","before",-0.0604245440177744,0.0845607084703449,0.47680998307793,"time_ref_afterbefore",0.47680998307793,89,89,"ref_after","Metabolin_feature_101","Adrenic acid"
"Metabolin_feature_101","time_ref_before","after",0.0604245440177757,0.084560708470345,0.476809983077918,"time_ref_beforeafter",0.825963142846201,89,89,"ref_before","Metabolin_feature_101","Adrenic acid"
"Metabolin_feature_102","time_ref_before","climb",0.0348700598036156,0.0570703995253562,0.542810628137535,"time_ref_beforeclimb",0.542810628137535,89,89,"ref_before","Metabolin_feature_102","Galactaric acid"
"Metabolin_feature_102","time_ref_before","after",0.0440577475580323,0.0625957840660026,0.483430527927139,"time_ref_beforeafter",0.542810628137535,89,89,"ref_before","Metabolin_feature_102","Galactaric acid"
"Metabolin_feature_102","time_ref_after","climb",-0.00918768775441688,0.0349220527304483,0.793109508590134,"time_ref_afterclimb",0.793109508590134,89,89,"ref_after","Metabolin_feature_102","Galactaric acid"
"Metabolin_feature_102","time_ref_after","before",-0.044057747558033,0.0625957840660026,0.483430527927155,"time_ref_afterbefore",0.793109508590134,89,89,"ref_after","Metabolin_feature_102","Galactaric acid"
"Metabolin_feature_103","time_ref_before","climb",-0.0134046810576863,0.0432939534563011,0.75766490829062,"time_ref_beforeclimb",0.75766490829062,89,30,"ref_before","Metabolin_feature_103","Glucaric acid"
"Metabolin_feature_103","time_ref_after","climb",0.0212840714264213,0.0261654771828666,0.418427090793166,"time_ref_afterclimb",0.456558938442023,89,30,"ref_after","Metabolin_feature_103","Glucaric acid"
"Metabolin_feature_103","time_ref_after","before",0.0346887524842779,0.0463561824720306,0.456558938442023,"time_ref_afterbefore",0.456558938442023,89,30,"ref_after","Metabolin_feature_103","Glucaric acid"
"Metabolin_feature_103","time_ref_before","after",-0.0346887524842111,0.0463561824721016,0.4565589384432,"time_ref_beforeafter",0.75766490829062,89,30,"ref_before","Metabolin_feature_103","Glucaric acid"
"Metabolin_feature_106","time_ref_before","climb",0.465879147197401,0.313559848888478,0.140995586507241,"time_ref_beforeclimb",0.255972929154283,89,4,"ref_before","Metabolin_feature_106","Taurocholic Acid (TCA)"
"Metabolin_feature_106","time_ref_before","after",0.39329599568458,0.343917770964108,0.255972929154283,"time_ref_beforeafter",0.255972929154283,89,4,"ref_before","Metabolin_feature_106","Taurocholic Acid (TCA)"
"Metabolin_feature_106","time_ref_after","before",-0.393295995684577,0.343917770964108,0.255972929154291,"time_ref_afterbefore",0.511945858308583,89,4,"ref_after","Metabolin_feature_106","Taurocholic Acid (TCA)"
"Metabolin_feature_106","time_ref_after","climb",0.0725831515128221,0.191870981596505,0.706146282051005,"time_ref_afterclimb",0.706146282051005,89,4,"ref_after","Metabolin_feature_106","Taurocholic Acid (TCA)"
"Metabolin_feature_11","time_ref_after","climb",-0.819990544103766,0.365913471150676,0.0276059782946085,"time_ref_afterclimb",0.0552119565892171,89,75,"ref_after","Metabolin_feature_11","3-Hydroxybutyric acid"
"Metabolin_feature_11","time_ref_before","after",1.2576945184491,0.655878988666058,0.0584847804999006,"time_ref_beforeafter",0.116969560999801,89,75,"ref_before","Metabolin_feature_11","3-Hydroxybutyric acid"
"Metabolin_feature_11","time_ref_before","climb",0.437703974345329,0.597983977387199,0.46617932328139,"time_ref_beforeclimb",0.46617932328139,89,75,"ref_before","Metabolin_feature_11","3-Hydroxybutyric acid"
