"original_name","renamed_name"
"O-Phosphoethanolamine","Metabolin_feature_1"
"Taurocyamine","Metabolin_feature_2"
"Acetic acid","Metabolin_feature_3"
"Propionic acid","Metabolin_feature_4"
"Glycine(Gly)","Metabolin_feature_5"
"L-Alanine(Ala)","Metabolin_feature_6"
"L-alpha-Aminobutyric acid","Metabolin_feature_7"
"2-Aminoisobutyric acid","Metabolin_feature_8"
"alpha-Hydroxyisobutyric acid","Metabolin_feature_9"
"2-Hydroxybutyric acid","Metabolin_feature_10"
"3-Hydroxybutyric acid","Metabolin_feature_11"
"L-Serine(Ser)","Metabolin_feature_12"
"L-Proline(Pro)","Metabolin_feature_13"
"Acetylglycine","Metabolin_feature_14"
"2-Hydroxy-2-methylbutyric acid","Metabolin_feature_15"
"Betaine","Metabolin_feature_16"
"L-Pipecolic acid","Metabolin_feature_17"
"Hydroxyisocaproic acid","Metabolin_feature_18"
"Erythronic acid","Metabolin_feature_19"
"N-Methylnicotinamide","Metabolin_feature_20"
"2-Ethylhexanoic acid","Metabolin_feature_21"
"4-Acetamidobutanoic acid","Metabolin_feature_22"
"4-Guanidinobutanoic acid","Metabolin_feature_23"
"Monomethyl glutaric acid","Metabolin_feature_24"
"Ribitol","Metabolin_feature_25"
"Arabinose","Metabolin_feature_26"
"Ribulose","Metabolin_feature_27"
"Phenylglyoxylic acid","Metabolin_feature_28"
"(S)C(S)S-S-Methylcysteine sulfoxide","Metabolin_feature_29"
"Mandelic acid","Metabolin_feature_30"
"L-Histidine(His)","Metabolin_feature_31"
"N-Acetylproline","Metabolin_feature_32"
"Isovalerylglycine","Metabolin_feature_33"
"Bicine","Metabolin_feature_34"
"2-Deoxyglucose","Metabolin_feature_35"
"3-Phenylbutyric acid","Metabolin_feature_36"
"L-Phenylalanine(Phe)","Metabolin_feature_37"
"Arabinonic acid","Metabolin_feature_38"
"Phenyllactic acid","Metabolin_feature_39"
"Cysteic acid","Metabolin_feature_40"
"1-Methylhistidine","Metabolin_feature_41"
"Shikimic acid","Metabolin_feature_42"
"L-Arginine(Arg)","Metabolin_feature_43"
"Citrulline(Cit)","Metabolin_feature_44"
"L-Gulonolactone","Metabolin_feature_45"
"Hippuric acid","Metabolin_feature_46"
"L-Sorbose","Metabolin_feature_47"
"Glucose","Metabolin_feature_48"
"myo-Inositol","Metabolin_feature_49"
"Undecylenic acid","Metabolin_feature_50"
"Phosphoserine","Metabolin_feature_51"
"Undecanoic acid","Metabolin_feature_52"
"3-Phosphoglyceric acid","Metabolin_feature_53"
"Leucyl-Glycine","Metabolin_feature_54"
"3-Indoleglyoxylic acid","Metabolin_feature_55"
"4-Aminohippuric acid","Metabolin_feature_56"
"Ferulic acid","Metabolin_feature_57"
"Vanillymandelic Acid","Metabolin_feature_58"
"11-Dodecenoic acid","Metabolin_feature_59"
"5Z-Dodecenoic acid","Metabolin_feature_60"
"Glyoxylic acid","Metabolin_feature_61"
"Tridecanoic acid","Metabolin_feature_62"
"Alanylglutamine","Metabolin_feature_63"
"Oxalic acid","Metabolin_feature_64"
"Cortisone","Metabolin_feature_65"
"Myristoleic acid","Metabolin_feature_66"
"Myristic acid","Metabolin_feature_67"
"Pyridoxal 5'-phosphate","Metabolin_feature_68"
"Palmitelaidic acid","Metabolin_feature_69"
"Palmitoleic acid","Metabolin_feature_70"
"Phenylacetylglutamine","Metabolin_feature_71"
"Ketoleucine","Metabolin_feature_72"
"3-Methyl-2-oxovaleric acid","Metabolin_feature_73"
"2,3-Diphosphoglyceric acid","Metabolin_feature_74"
"10Z-Heptadecenoic acid","Metabolin_feature_75"
"7-Ketolithocholic Acid Methyl Ester","Metabolin_feature_76"
"Muconic acid","Metabolin_feature_77"
"Urocanic acid","Metabolin_feature_78"
"alpha-Linolenic acid","Metabolin_feature_79"
"Methylglutaric acid","Metabolin_feature_80"
"2,2-Dimethylsuccinic acid","Metabolin_feature_81"
