site,MAG,Microbe,mean_plasticity
gut,QML5200-240511-01B_bin.13.orig,Phocaeicola coprophilus,10.171
gut,QML5800-240428-05B_bin.15.orig,Phocaeicola coprocola,-8.5958
gut,QML3800-240416-01B_bin.36.strict,CAG-170 sp900545925,8.5711
oral,QML5200-240511-09C_bin.46.orig,Alloprevotella sp003639005,-7.9507
oral,QML5200-240511-09C_bin.46.orig,Alloprevotella sp003639005,-7.9507
oral,QML6500-240426-11C_bin.45.orig,Alloprevotella sp003639005,-7.9507
oral,QML6500-240426-11C_bin.45.orig,Alloprevotella sp003639005,-7.9507
oral,QML5200-240418-05C_bin.27.permissive,Treponema sp963542655,-6.8953
gut,QML5200-240522-05B_bin.2.orig,Phocaeicola,-6.1266
oral,QML5200-240522-06C_bin.37.strict,Mogibacterium sp916438645,-5.7203
gut,QML0000-240616-01B_bin.36.strict,Alistipes provencensis,5.2873
oral,QML0000-240616-02C_bin.57.orig,CAUSWF01 sp963535465,-5.1691
oral,QML5200-240504-03C_bin.25.orig,CAUSWF01 sp963535465,-5.1691
oral,QML0000-240616-02C_bin.57.orig,CAUSWF01 sp963535465,-5.1691
oral,QML5200-240504-03C_bin.25.orig,CAUSWF01 sp963535465,-5.1691
oral,QML0000-240606-07C_bin.46.orig,Prevotella scopos,-4.4935
oral,EVR0000-240319-04C_bin.64.permissive,JAIKWW01,-4.3055
skin,QML0000-240616-10D_bin.17.permissive,Prevotella melaninogenica_B,4.2601
gut,QML0000-240616-10B_bin.9.strict,Ruminiclostridium_E siraeum,4.2523
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-08D_bin.12.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240511-03C_bin.25.strict,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10D_bin.16.permissive,Porphyromonas pasteri,-4.1621
oral,QML5200-240418-10C_bin.16.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240415-01C_bin.23.strict,Porphyromonas pasteri,-4.1621
oral,QML3650-240319-01D_bin.13.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML2500-240413-01D_bin.7.permissive,Porphyromonas pasteri,-4.1621
oral,QML2500-240411-01D_bin.8.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240616-08C_bin.4.strict,Porphyromonas pasteri,-4.1621
oral,QML0000-240606-05C_bin.15.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-05C_bin.20.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240428-02D_bin.12.permissive,Porphyromonas pasteri,-4.1621
oral,QML5800-240423-06C_bin.16.permissive,Porphyromonas pasteri,-4.1621
