"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","comparison_type","original_feature","original_name"
"oral_feature_1","time_ref_before","climb",6.16450534194881e-05,4.9471367915697e-05,0.215482117895032,"time_ref_beforeclimb",0.430964235790064,119,100,"ref_before","oral_feature_1","QML5200-240504-03C_bin.45.strict"
"oral_feature_1","time_ref_before","after",1.14065632308999e-05,5.5463889292017e-05,0.837454272656125,"time_ref_beforeafter",0.837454272656125,119,100,"ref_before","oral_feature_1","QML5200-240504-03C_bin.45.strict"
"oral_feature_1","time_ref_after","climb",5.02384901885421e-05,3.05704265101144e-05,0.103288121291585,"time_ref_afterclimb",0.206576242583169,119,100,"ref_after","oral_feature_1","QML5200-240504-03C_bin.45.strict"
"oral_feature_1","time_ref_after","before",-1.14065632309446e-05,5.54638892919525e-05,0.837454272655416,"time_ref_afterbefore",0.837454272655416,119,100,"ref_after","oral_feature_1","QML5200-240504-03C_bin.45.strict"
"oral_feature_10","time_ref_before","climb",-0.000429696546546951,0.000439434154580291,0.330432381583351,"time_ref_beforeclimb",0.660864763166702,119,106,"ref_before","oral_feature_10","QML6500-240426-04C_bin.25.strict"
"oral_feature_10","time_ref_after","climb",-0.000289864795359016,0.00027129082146277,0.287801329084108,"time_ref_afterclimb",0.575602658168215,119,106,"ref_after","oral_feature_10","QML6500-240426-04C_bin.25.strict"
"oral_feature_10","time_ref_before","after",-0.000139831751191314,0.000492372777391759,0.776981753716344,"time_ref_beforeafter",0.776981753716344,119,106,"ref_before","oral_feature_10","QML6500-240426-04C_bin.25.strict"
"oral_feature_10","time_ref_after","before",0.000139831751187553,0.000492372777394687,0.776981753723334,"time_ref_afterbefore",0.776981753723334,119,106,"ref_after","oral_feature_10","QML6500-240426-04C_bin.25.strict"
"oral_feature_100","time_ref_after","before",1.37364796747519e-05,3.36646809777807e-05,0.684068114466193,"time_ref_afterbefore",0.832108704263769,119,63,"ref_after","oral_feature_100","QML5200-240504-01C_bin.63.permissive"
"oral_feature_100","time_ref_before","after",-1.37364796748132e-05,3.36646809778083e-05,0.684068114465285,"time_ref_beforeafter",0.744978262495954,119,63,"ref_before","oral_feature_100","QML5200-240504-01C_bin.63.permissive"
"oral_feature_100","time_ref_after","climb",3.94311683245771e-06,1.85539268873789e-05,0.832108704263769,"time_ref_afterclimb",0.832108704263769,119,63,"ref_after","oral_feature_100","QML5200-240504-01C_bin.63.permissive"
"oral_feature_100","time_ref_before","climb",-9.79336284234764e-06,3.00304539603395e-05,0.744978262495954,"time_ref_beforeclimb",0.744978262495954,119,63,"ref_before","oral_feature_100","QML5200-240504-01C_bin.63.permissive"
"oral_feature_1000","time_ref_before","after",-0.000233815102897356,0.000187132736045841,0.214288636635918,"time_ref_beforeafter",0.428577273271837,119,101,"ref_before","oral_feature_1000","QML5200-240504-10D_bin.2.orig"
"oral_feature_1000","time_ref_before","climb",-5.75939672493115e-06,0.000167015041920882,0.97255667282931,"time_ref_beforeclimb",0.97255667282931,119,101,"ref_before","oral_feature_1000","QML5200-240504-10D_bin.2.orig"
"oral_feature_1000","time_ref_after","climb",0.000228055706173534,0.000103107026070395,0.0291574176873918,"time_ref_afterclimb",0.0583148353747835,119,101,"ref_after","oral_feature_1000","QML5200-240504-10D_bin.2.orig"
"oral_feature_1000","time_ref_after","before",0.00023381510289522,0.000187132736048643,0.214288636646841,"time_ref_afterbefore",0.214288636646841,119,101,"ref_after","oral_feature_1000","QML5200-240504-10D_bin.2.orig"
"oral_feature_1001","time_ref_before","after",0.000146908023780105,0.000144965768189746,0.313312167170229,"time_ref_beforeafter",0.626624334340458,119,102,"ref_before","oral_feature_1001","QML5200-240522-09C_bin.33.orig"
"oral_feature_1001","time_ref_after","climb",-0.000187722465205656,7.99013539208002e-05,0.0207732582638379,"time_ref_afterclimb",0.0415465165276759,119,102,"ref_after","oral_feature_1001","QML5200-240522-09C_bin.33.orig"
"oral_feature_1001","time_ref_after","before",-0.000146908023780106,0.000144965768189746,0.313312167169445,"time_ref_afterbefore",0.313312167169445,119,102,"ref_after","oral_feature_1001","QML5200-240522-09C_bin.33.orig"
"oral_feature_1001","time_ref_before","climb",-4.08144414255504e-05,0.000129304209062529,0.752923609161313,"time_ref_beforeclimb",0.752923609161313,119,102,"ref_before","oral_feature_1001","QML5200-240522-09C_bin.33.orig"
"oral_feature_1002","time_ref_before","climb",-0.00177057156088239,0.000447157675677551,0.000135111962378351,"time_ref_beforeclimb",0.000270223924756702,119,77,"ref_before","oral_feature_1002","QML5800-240428-02C_bin.25.orig"
"oral_feature_1002","time_ref_before","after",-0.00132246367491492,0.000501506338572691,0.00960926214865411,"time_ref_beforeafter",0.00960926214865411,119,77,"ref_before","oral_feature_1002","QML5800-240428-02C_bin.25.orig"
"oral_feature_1002","time_ref_after","before",0.00132246367491492,0.000501506338572692,0.00960926214860951,"time_ref_afterbefore",0.019218524297219,119,77,"ref_after","oral_feature_1002","QML5800-240428-02C_bin.25.orig"
"oral_feature_1002","time_ref_after","climb",-0.000448107885967464,0.000276493429020814,0.108039374598356,"time_ref_afterclimb",0.108039374598356,119,77,"ref_after","oral_feature_1002","QML5800-240428-02C_bin.25.orig"
"oral_feature_1003","time_ref_before","after",0.000127437301958963,7.07530306844152e-05,0.0745477118629864,"time_ref_beforeafter",0.149095423725973,119,106,"ref_before","oral_feature_1003","QML0000-240615-03C_bin.3.strict"
"oral_feature_1003","time_ref_after","climb",-9.87062393193257e-05,3.89858986130723e-05,0.0128283854598203,"time_ref_afterclimb",0.0256567709196405,119,106,"ref_after","oral_feature_1003","QML0000-240615-03C_bin.3.strict"
"oral_feature_1003","time_ref_after","before",-0.000127437301958963,7.07530306844153e-05,0.0745477118643125,"time_ref_afterbefore",0.0745477118643125,119,106,"ref_after","oral_feature_1003","QML0000-240615-03C_bin.3.strict"
"oral_feature_1003","time_ref_before","climb",2.87310626396371e-05,6.313918841655e-05,0.650015565632379,"time_ref_beforeclimb",0.650015565632379,119,106,"ref_before","oral_feature_1003","QML0000-240615-03C_bin.3.strict"
"oral_feature_1004","time_ref_after","climb",5.21853144762485e-05,9.92700642718926e-05,0.600212249775762,"time_ref_afterclimb",0.838966641556401,119,97,"ref_after","oral_feature_1004","QML5800-240428-03C_bin.9.orig"
"oral_feature_1004","time_ref_before","climb",8.88816138844283e-05,0.000160704999538267,0.58138350608693,"time_ref_beforeclimb",0.838966641556601,119,97,"ref_before","oral_feature_1004","QML5800-240428-03C_bin.9.orig"
"oral_feature_1004","time_ref_before","after",3.66962994081804e-05,0.00018013179580955,0.838966641556601,"time_ref_beforeafter",0.838966641556601,119,97,"ref_before","oral_feature_1004","QML5800-240428-03C_bin.9.orig"
"oral_feature_1004","time_ref_after","before",-3.66962994081784e-05,0.00018013179580955,0.838966641556401,"time_ref_afterbefore",0.838966641556401,119,97,"ref_after","oral_feature_1004","QML5800-240428-03C_bin.9.orig"
"oral_feature_1005","time_ref_before","climb",0.000180809538601247,0.000121504997912757,0.139644632395591,"time_ref_beforeclimb",0.279289264791182,119,116,"ref_before","oral_feature_1005","QML5200-240504-02C_bin.81.orig"
"oral_feature_1005","time_ref_after","climb",8.37472310052665e-05,7.51761406242805e-05,0.267776170700309,"time_ref_afterclimb",0.477995570191085,119,116,"ref_after","oral_feature_1005","QML5200-240504-02C_bin.81.orig"
"oral_feature_1005","time_ref_after","before",-9.70623075959805e-05,0.000136318863807924,0.477995570191085,"time_ref_afterbefore",0.477995570191085,119,116,"ref_after","oral_feature_1005","QML5200-240504-02C_bin.81.orig"
"oral_feature_1005","time_ref_before","after",9.706230759598e-05,0.000136318863807924,0.47799557019119,"time_ref_beforeafter",0.47799557019119,119,116,"ref_before","oral_feature_1005","QML5200-240504-02C_bin.81.orig"
"oral_feature_1006","time_ref_after","climb",3.83160372490019e-05,3.7358867756859e-05,0.307376634393007,"time_ref_afterclimb",0.604504425592883,119,96,"ref_after","oral_feature_1006","QML5200-240522-01C_bin.45.permissive"
"oral_feature_1006","time_ref_before","climb",7.3492370504691e-05,6.0330209817782e-05,0.225794058067161,"time_ref_beforeclimb",0.451588116134322,119,96,"ref_before","oral_feature_1006","QML5200-240522-01C_bin.45.permissive"
"oral_feature_1006","time_ref_before","after",3.51763332556894e-05,6.77174340169603e-05,0.604504425592924,"time_ref_beforeafter",0.604504425592924,119,96,"ref_before","oral_feature_1006","QML5200-240522-01C_bin.45.permissive"
"oral_feature_1006","time_ref_after","before",-3.51763332556883e-05,6.77174340169602e-05,0.604504425592883,"time_ref_afterbefore",0.604504425592883,119,96,"ref_after","oral_feature_1006","QML5200-240522-01C_bin.45.permissive"
"oral_feature_1007","time_ref_before","climb",-0.0001273539966495,0.000155837231470962,0.415608348944005,"time_ref_beforeclimb",0.415608348944005,119,57,"ref_before","oral_feature_1007","QML3650-240415-01C_bin.47.orig"
"oral_feature_1007","time_ref_before","after",-0.000168633920448138,0.000174776092465372,0.336793571473865,"time_ref_beforeafter",0.415608348944005,119,57,"ref_before","oral_feature_1007","QML3650-240415-01C_bin.47.orig"
"oral_feature_1007","time_ref_after","climb",4.12799237986382e-05,9.63577432980097e-05,0.669223001425182,"time_ref_afterclimb",0.669223001425182,119,57,"ref_after","oral_feature_1007","QML3650-240415-01C_bin.47.orig"
