subject_id,time,microbe,log_abundance,time_numeric,site,age_group,age_numeric
S1,T10,QML0000-240606-02B_bin.20.orig,-4.4189147797279835,12,gut,old,1
S1,T10,QML0000-240606-04B_bin.12.orig,-18.420680743952367,12,gut,old,1
S1,T10,QML0000-240606-04B_bin.17.strict,-4.813610113691535,12,gut,old,1
S1,T10,QML0000-240606-05B_bin.26.strict,-13.728072862614782,12,gut,old,1
S1,T10,QML0000-240606-05B_bin.6.orig,-4.517605026431127,12,gut,old,1
S1,T10,QML0000-240606-07B_bin.13.strict,-18.420680743952367,12,gut,old,1
S1,T10,QML0000-240606-07B_bin.18.orig,-5.952056160142225,12,gut,old,1
S1,T10,QML0000-240616-01B_bin.36.strict,-6.09649508372257,12,gut,old,1
S1,T10,QML0000-240616-04B_bin.25.strict,-8.401456119946364,12,gut,old,1
S1,T10,QML0000-240616-05B_bin.10.strict,-5.894924263817959,12,gut,old,1
S1,T10,QML0000-240616-05B_bin.9.strict,-8.310537574839246,12,gut,old,1
S1,T10,QML0000-240616-06B_bin.2.strict,-6.670460179614008,12,gut,old,1
S1,T10,QML0000-240616-06B_bin.27.permissive,-7.683518708330689,12,gut,old,1
S1,T10,QML0000-240616-08B_bin.56.permissive,-8.3256436527538,12,gut,old,1
S1,T10,QML0000-240616-10B_bin.9.strict,-18.420680743952367,12,gut,old,1
S1,T10,QML2500-240411-09B_bin.11.permissive,-5.667837981876475,12,gut,old,1
S1,T10,QML2500-240411-09B_bin.27.strict,-5.490897726345538,12,gut,old,1
S1,T10,QML3650-240319-06B_bin.10.strict,-18.420680743952367,12,gut,old,1
S1,T10,QML3650-240319-06B_bin.36.permissive,-18.420680743952367,12,gut,old,1
S1,T10,QML3650-240319-06B_bin.71.permissive,-5.795470714415766,12,gut,old,1
S1,T10,QML3650-240329-05B_bin.56.orig,-10.869451274015724,12,gut,old,1
S1,T10,QML3800-240416-01B_bin.36.strict,-4.744409782666951,12,gut,old,1
S1,T10,QML3800-240416-05B_bin.21.strict,-10.458016182782227,12,gut,old,1
S1,T10,QML5200-240418-03B_bin.31.strict,-7.862200721702081,12,gut,old,1
S1,T10,QML5200-240418-05B_bin.46.strict,-12.887418595347325,12,gut,old,1
S1,T10,QML5200-240418-06B_bin.10.strict,-9.302478554560627,12,gut,old,1
S1,T10,QML5200-240504-01B_bin.74.permissive,-6.7586142961909115,12,gut,old,1
S1,T10,QML5200-240504-05B_bin.24.orig,-7.479749570802246,12,gut,old,1
S1,T10,QML5200-240504-06B_bin.32.strict,-10.643195540994588,12,gut,old,1
S1,T10,QML5200-240511-01B_bin.13.orig,-3.8639681180858276,12,gut,old,1
S1,T10,QML5200-240511-01B_bin.57.strict,-3.9709551739160283,12,gut,old,1
S1,T10,QML5200-240511-02B_bin.12.strict,-6.457663069807617,12,gut,old,1
S1,T10,QML5200-240522-05B_bin.2.orig,-9.557788110939144,12,gut,old,1
S1,T10,QML5200-240522-08B_bin.2.strict,-12.02404325790977,12,gut,old,1
S1,T10,QML5200-240522-11B_bin.40.permissive,-18.420680743952367,12,gut,old,1
S1,T10,QML5800-240423-04B_bin.7.strict,-3.6365135766865335,12,gut,old,1
S1,T10,QML5800-240423-05B_bin.15.strict,-4.8756973040679945,12,gut,old,1
S1,T10,QML5800-240423-05B_bin.41.permissive,-4.932701677760251,12,gut,old,1
S1,T10,QML5800-240423-05B_bin.45.orig,-8.957908218734838,12,gut,old,1
S1,T10,QML5800-240423-08B_bin.36.orig,-18.420680743952367,12,gut,old,1
S1,T10,QML5800-240423-08B_bin.9.permissive,-6.578194877421769,12,gut,old,1
S1,T10,QML5800-240423-11D_bin.9.strict,-18.420680743952367,12,gut,old,1
S1,T10,QML5800-240428-02B_bin.44.strict,-6.352753345906104,12,gut,old,1
S1,T10,QML5800-240428-05B_bin.15.orig,-10.138293210067983,12,gut,old,1
S1,T10,QML5800-240428-05B_bin.5.permissive,-8.40888256547178,12,gut,old,1
S1,T10,QML5800-240428-06B_bin.67.orig,-7.314718817482796,12,gut,old,1
S1,T10,QML6500-240426-05B_bin.35.strict,-5.741433582877193,12,gut,old,1
S1,T10,QML6500-240426-07B_bin.16.orig,-6.769976334564977,12,gut,old,1
S1,T10,QML6500-240426-07B_bin.34.strict,-8.022759538753954,12,gut,old,1
S1,T2,QML0000-240606-02B_bin.20.orig,-5.574111386356375,2,gut,old,1
S1,T2,QML0000-240606-04B_bin.12.orig,-18.420680743952367,2,gut,old,1
S1,T2,QML0000-240606-04B_bin.17.strict,-5.579530401046613,2,gut,old,1
S1,T2,QML0000-240606-05B_bin.26.strict,-15.13976024779689,2,gut,old,1
S1,T2,QML0000-240606-05B_bin.6.orig,-5.050438489237907,2,gut,old,1
S1,T2,QML0000-240606-07B_bin.13.strict,-18.420680743952367,2,gut,old,1
S1,T2,QML0000-240606-07B_bin.18.orig,-10.553109781679382,2,gut,old,1
S1,T2,QML0000-240616-01B_bin.36.strict,-6.972137841879008,2,gut,old,1
S1,T2,QML0000-240616-04B_bin.25.strict,-8.199836317728753,2,gut,old,1
S1,T2,QML0000-240616-05B_bin.10.strict,-5.421433877490195,2,gut,old,1
S1,T2,QML0000-240616-05B_bin.9.strict,-8.734107524998322,2,gut,old,1
S1,T2,QML0000-240616-06B_bin.2.strict,-8.714251807411266,2,gut,old,1
S1,T2,QML0000-240616-06B_bin.27.permissive,-9.645563022719719,2,gut,old,1
S1,T2,QML0000-240616-08B_bin.56.permissive,-7.822194478169411,2,gut,old,1
S1,T2,QML0000-240616-10B_bin.9.strict,-5.979098919058906,2,gut,old,1
S1,T2,QML2500-240411-09B_bin.11.permissive,-5.368852843275658,2,gut,old,1
S1,T2,QML2500-240411-09B_bin.27.strict,-6.251336430094989,2,gut,old,1
S1,T2,QML3650-240319-06B_bin.10.strict,-8.709175581882592,2,gut,old,1
S1,T2,QML3650-240319-06B_bin.36.permissive,-18.420680743952367,2,gut,old,1
S1,T2,QML3650-240319-06B_bin.71.permissive,-6.748813053644832,2,gut,old,1
S1,T2,QML3650-240329-05B_bin.56.orig,-18.420680743952367,2,gut,old,1
S1,T2,QML3800-240416-01B_bin.36.strict,-5.3163661697228815,2,gut,old,1
S1,T2,QML3800-240416-05B_bin.21.strict,-8.460154238060484,2,gut,old,1
S1,T2,QML5200-240418-03B_bin.31.strict,-7.63256646874097,2,gut,old,1
S1,T2,QML5200-240418-05B_bin.46.strict,-11.600306518711365,2,gut,old,1
S1,T2,QML5200-240418-06B_bin.10.strict,-4.67780714985191,2,gut,old,1
S1,T2,QML5200-240504-01B_bin.74.permissive,-6.523820932201083,2,gut,old,1
S1,T2,QML5200-240504-05B_bin.24.orig,-8.59028102797435,2,gut,old,1
S1,T2,QML5200-240504-06B_bin.32.strict,-8.981905529849719,2,gut,old,1
S1,T2,QML5200-240511-01B_bin.13.orig,-3.9363399754924213,2,gut,old,1
S1,T2,QML5200-240511-01B_bin.57.strict,-5.099434573370925,2,gut,old,1
S1,T2,QML5200-240511-02B_bin.12.strict,-6.249911375981628,2,gut,old,1
S1,T2,QML5200-240522-05B_bin.2.orig,-10.669212950608053,2,gut,old,1
S1,T2,QML5200-240522-08B_bin.2.strict,-14.631660789819577,2,gut,old,1
S1,T2,QML5200-240522-11B_bin.40.permissive,-18.420680743952367,2,gut,old,1
S1,T2,QML5800-240423-04B_bin.7.strict,-3.782812241147389,2,gut,old,1
S1,T2,QML5800-240423-05B_bin.15.strict,-5.634426299449982,2,gut,old,1
S1,T2,QML5800-240423-05B_bin.41.permissive,-5.872861822497269,2,gut,old,1
S1,T2,QML5800-240423-05B_bin.45.orig,-7.497351457316211,2,gut,old,1
S1,T2,QML5800-240423-08B_bin.36.orig,-18.420680743952367,2,gut,old,1
S1,T2,QML5800-240423-08B_bin.9.permissive,-6.400180169239752,2,gut,old,1
S1,T2,QML5800-240423-11D_bin.9.strict,-18.420680743952367,2,gut,old,1
S1,T2,QML5800-240428-02B_bin.44.strict,-8.416647407590938,2,gut,old,1
S1,T2,QML5800-240428-05B_bin.15.orig,-18.420680743952367,2,gut,old,1
S1,T2,QML5800-240428-05B_bin.5.permissive,-6.844083877249068,2,gut,old,1
S1,T2,QML5800-240428-06B_bin.67.orig,-7.687902085132048,2,gut,old,1
S1,T2,QML6500-240426-05B_bin.35.strict,-5.531810063237703,2,gut,old,1
S1,T2,QML6500-240426-07B_bin.16.orig,-7.958072540835279,2,gut,old,1
S1,T2,QML6500-240426-07B_bin.34.strict,-15.089488164860658,2,gut,old,1
S1,T3,QML0000-240606-02B_bin.20.orig,-6.732807645126924,4,gut,old,1
S1,T3,QML0000-240606-04B_bin.12.orig,-18.420680743952367,4,gut,old,1
S1,T3,QML0000-240606-04B_bin.17.strict,-5.478170886191245,4,gut,old,1
S1,T3,QML0000-240606-05B_bin.26.strict,-18.420680743952367,4,gut,old,1
S1,T3,QML0000-240606-05B_bin.6.orig,-4.170584028943572,4,gut,old,1
S1,T3,QML0000-240606-07B_bin.13.strict,-18.420680743952367,4,gut,old,1
S1,T3,QML0000-240606-07B_bin.18.orig,-12.469191010706691,4,gut,old,1
S1,T3,QML0000-240616-01B_bin.36.strict,-10.266889234814064,4,gut,old,1
S1,T3,QML0000-240616-04B_bin.25.strict,-8.569457090955451,4,gut,old,1
S1,T3,QML0000-240616-05B_bin.10.strict,-6.221382617235346,4,gut,old,1
S1,T3,QML0000-240616-05B_bin.9.strict,-8.70736888034494,4,gut,old,1
