"data_type","phenotype","n_subjects","mean_pearson_correlation","mean_spearman_correlation","sd_pearson_correlation","sd_spearman_correlation","mean_n_points","pearson_ttest_pvalue","spearman_ttest_pvalue","pearson_ttest_fdr","spearman_ttest_fdr"
"physiology","Mean Corpuscular Hemoglobin Concentration(MCHC)",11,0.924612456743234,0.820769842376562,0.0588960680087804,0.0690130721447177,5.72727272727273,2.73863214717299e-12,3.29602865226523e-11,1.86226986007763e-10,6.25737721404204e-10
"ultrasound","Heart and Large Vessels_Heart Rate(HR)",11,0.865129016085159,0.84229360395271,0.109330303911781,0.0842355816409591,6,1.48607115933714e-10,1.46703492487118e-11,5.05264194174628e-09,6.25737721404204e-10
"ultrasound","Heart and Large Vessels_Left ventricular end-systolic internal diameters",11,-0.850702178070627,-0.80846680007399,0.108356326035894,0.0688226509462862,5.09090909090909,1.33907383824127e-09,3.68081012590708e-11,2.02349824228482e-08,6.25737721404204e-10
"ultrasound","Heart and Large Vessels_Left ventricular end-systolic volume",11,-0.850132927444431,-0.807257862153392,0.109576181380524,0.0683081713484318,5.09090909090909,1.48786635462119e-09,3.48820046261708e-11,2.02349824228482e-08,6.25737721404204e-10
"physiology","Mean Corpuscular Hemoglobin(MCH)",11,0.848718179863714,0.785038663019325,0.122030369197886,0.143216885102057,5.72727272727273,3.92151378634759e-09,3.19413085855006e-08,3.80947053530909e-08,2.71501122976755e-07
"physiology","Partial Pressure of Carbon Dioxide(pCO2)",10,-0.826485695224044,-0.805412332602498,0.104424650503119,0.0571013186274398,5.5,1.05379787323622e-08,1.07226171984205e-10,8.95728192250786e-08,1.45827593898518e-09
"eye","Right Eye Cornea Thickness(CCT_R)",12,0.822972978244389,0.723304961800633,0.154548446021458,0.130925317181723,4.83333333333333,1.27015886229458e-09,8.57071675688164e-10,2.02349824228482e-08,9.71347899113253e-09
"ultrasound","Heart and Large Vessels_Left ventricular end-diastolic internal diameter",11,-0.792741733316818,-0.738948271456817,0.166284834327454,0.163552573029217,5.09090909090909,1.07980066486954e-07,1.72022144367897e-07,7.34264452111284e-07,9.74792151418086e-07
"ultrasound","Heart and Large Vessels_Left ventricular end-diastolic volume",11,-0.789912149144208,-0.738948271456817,0.171201507740679,0.163552573029217,5.09090909090909,1.43430584340896e-07,1.72022144367897e-07,8.86661794107355e-07,9.74792151418086e-07
"physiology","LDH",10,0.780825118981223,0.696177215198833,0.369000463325129,0.389423553693339,5.4,0.000221044838990052,0.000675130195740384,0.000653523871796675,0.00199603710044983
"physiology","CK-MB",10,0.777809563578659,0.745304985151793,0.283310230117671,0.288887650671774,5.4,3.53918137747355e-05,5.53625742386736e-05,0.000141567255098942,0.000221450296954694
"eye","Left Eye Cornea Thickness(CCT_L)",12,0.775960006364555,0.692834730984028,0.1584645630693,0.168196043066644,4.83333333333333,3.10337965789321e-09,1.92555599337325e-08,3.51716361227898e-08,1.8705401078483e-07
"ultrasound","Right middle cerebral artery_peak systolic flow velocity",8,-0.738954472441608,-0.707888607159801,0.230945429708612,0.255506979324172,3.375,0.0020194530883111,0.00345185162671783,0.00457742700017183,0.00838306823631473
"physiology","Crea",11,0.717456005801791,0.642486959720887,0.198140931745565,0.191911677675875,6.36363636363636,1.14676156554848e-06,2.22178693658812e-06,5.99844511209975e-06,1.07915365491423e-05
"physiology","Total Bilirubin(TBIL)",11,0.700035478345144,0.709254731737564,0.11977444467348,0.149161384062087,6.36363636363636,1.81909703287002e-08,1.10455797338143e-07,1.37442886927957e-07,7.51099421899375e-07
"ultrasound","Left middle cerebral artery_end-diastolic flow velocity",9,-0.695368927290151,-0.614969235251482,0.333267400074773,0.325845680703381,3.33333333333333,0.00373563007402496,0.00572024199411647,0.00793821390730304,0.0121555142374975
"physiology","Hemoglobin(HGB)",11,0.68231726906449,0.664110221166568,0.296226173872422,0.310097107064279,5.72727272727273,4.64413505702137e-05,8.15555183662942e-05,0.000175445102154141,0.000308098624939333
"physiology","Indirect Bilirubin(IBIL)",11,0.674448900048126,0.729541589132033,0.183401018540802,0.149272606317958,6.36363636363636,1.00559819091885e-06,8.69984332599227e-08,5.69838974854013e-06,6.57321495741638e-07
"physiology","LP(a)",10,-0.662962548697146,-0.607969032113099,0.348056050164105,0.384832073509713,5.4,0.000446969179775956,0.00146492030738628,0.0012157561689906,0.00398458323609069
"physiology","Mean Platelet Volume(MPV)",11,-0.661502694358333,-0.651503497432835,0.262905294390593,0.257390728120948,5.72727272727273,2.31153839397488e-05,2.20397861190617e-05,9.82403817439326e-05,9.99136970730798e-05
"ultrasound","Right middle cerebral artery_end-diastolic flow velocity",8,-0.661473101298177,-0.604609051260937,0.344504502095467,0.484485846628521,3.375,0.012711770639869,0.0492880069789674,0.0246971543860313,0.077943824989995
"physiology","urine Vitamin C",12,0.658054516527318,0.617007259485295,0.205279907925019,0.146727698727644,4.5,3.19434441905407e-06,3.19622304348118e-07,1.55153871782626e-05,1.67187051505169e-06
"physiology","Large Platelet Ratio(PLCR)",11,-0.653129605020886,-0.64082192667769,0.342020269670495,0.359400767008789,4.90909090909091,0.000193118566436842,0.000318257249996713,0.000596911932622967,0.00103054728570364
