"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","comparison_type","original_feature","original_name"
"ultrasound_feature_1","time_ref_after","climb",0.0354745841950678,0.0168750808223184,0.0401293072312077,"time_ref_afterclimb",0.0401293072312077,57,57,"ref_after","ultrasound_feature_1","Heart and Large Vessels_Anteroposterior Right Ventricular Diameter"
"ultrasound_feature_10","time_ref_after","climb",-0.132234079484084,0.0148356438214107,1.1253790322309e-11,"time_ref_afterclimb",1.1253790322309e-11,59,59,"ref_after","ultrasound_feature_10","Heart and Large Vessels_Left ventricular end-systolic internal diameters"
"ultrasound_feature_11","time_ref_after","climb",-0.332353674464708,0.0370408962485559,9.14970981759255e-12,"time_ref_afterclimb",9.14970981759255e-12,59,59,"ref_after","ultrasound_feature_11","Heart and Large Vessels_Left ventricular end-systolic volume"
"ultrasound_feature_12","time_ref_after","climb",-0.0189018546220626,0.0201366241596966,0.352921001427909,"time_ref_afterclimb",0.352921001427909,54,54,"ref_after","ultrasound_feature_12","Heart and Large Vessels_Main Pulmonary Artery Diameter(MPAD)"
"ultrasound_feature_13","time_ref_after","climb",0.012866918225419,0.0262829057337746,0.628634518328482,"time_ref_afterclimb",0.628634518328482,33,33,"ref_after","ultrasound_feature_13","Heart and Large Vessels_Right Ventricular Transverse Diameter"
"ultrasound_feature_14","time_ref_after","climb",0.06524329091613,0.0240341053058124,0.010742801766542,"time_ref_afterclimb",0.010742801766542,33,5,"ref_after","ultrasound_feature_14","Heart and Large Vessels_Transverse Right Ventricular Diameter/Transverse Left Ventricular Diameter"
"ultrasound_feature_15","time_ref_after","climb",-0.00829930124271813,0.031648422303538,0.794420454192664,"time_ref_afterclimb",0.794420454192664,52,52,"ref_after","ultrasound_feature_15","Left common carotid artery_S/D"
"ultrasound_feature_16","time_ref_after","climb",0.00343379664846103,0.0367399609633003,0.925937016957243,"time_ref_afterclimb",0.925937016957243,57,57,"ref_after","ultrasound_feature_16","Left common carotid artery_end-diastolic flow velocity"
"ultrasound_feature_17","time_ref_after","climb",-0.0267825899204575,0.0224485304253151,0.238253377484187,"time_ref_afterclimb",0.238253377484187,62,2,"ref_after","ultrasound_feature_17","Left common carotid artery_lumen diameter"
"ultrasound_feature_18","time_ref_after","climb",-0.103959362076896,0.043275955581875,0.0200778293483032,"time_ref_afterclimb",0.0200778293483032,60,60,"ref_after","ultrasound_feature_18","Left common carotid artery_peak systolic flow velocity"
